district_code,district_name,oosr_pct,n_oosr,pct_can_read,n_reading,pct_cannot_read
101,Chitipa,0.7220599333370316,1043,30.20012795905331,337,69.7998720409467
102,Karonga,1.412007304187229,1095,37.15182898971956,361,62.84817101028044
103,Nkhata Bay,0.9818157863558824,1262,26.739816005538607,376,73.26018399446139
104,Rumphi,1.085884030810326,916,37.33196927224964,338,62.66803072775036
105,Mzimba,1.954244484776076,749,30.24021624291815,237,69.75978375708185
106,Likoma,0.9498337165496494,571,39.17341235376381,233,60.82658764623619
107,Mzuzu City,0.2597750672156723,265,51.779661500813305,98,48.220338499186695
201,Kasungu,2.6124349951645978,986,33.00654194937653,347,66.99345805062347
202,Nkhotakota,3.534195298962741,1131,27.20687173690403,369,72.79312826309597
203,Ntchisi,2.215048872570967,925,35.562758301347074,336,64.43724169865293
204,Dowa,7.484301992366821,821,36.22528773589738,332,63.77471226410262
205,Salima,5.252380402780264,1046,26.468198807046665,345,73.53180119295334
206,Lilongwe Rural,5.624423590653009,664,20.25868022303842,255,79.74131977696157
207,Mchinji,2.705797149871105,985,24.574993356961485,349,75.42500664303851
208,Dedza,3.1226429186448406,966,21.63691201563759,333,78.36308798436241
209,Ntcheu,3.6718815575569246,908,25.56989253547816,327,74.43010746452184
210,Lilongwe City,1.7878135706851996,353,56.310908234384506,145,43.689091765615494
301,Mangochi,4.990484288205036,1093,16.56583879702517,391,83.43416120297483
302,Machinga,2.2971061300573172,1031,29.039069352495144,366,70.96093064750485
303,Zomba Rural,2.719132648210675,806,37.58353715058696,317,62.41646284941304
304,Chiradzulu,1.7301418226414547,831,39.996978151015725,345,60.003021848984275
305,Blantyre Rural,0.1929792331399079,377,32.36260674536948,168,67.63739325463052
306,Mwanza,3.018012465488097,936,39.533466972985984,354,60.466533027014016
307,Thyolo,4.7659202327684245,936,32.32689142296691,360,67.67310857703309
308,Mulanje,1.9342214404424365,912,25.278486246484956,386,74.72151375351504
309,Phalombe,1.8144123256913385,998,22.95887863764215,344,77.04112136235784
310,Chikwawa,2.7767361654691998,976,26.999308131765837,340,73.00069186823416
311,Nsanje,3.9547017140036895,1017,24.217303779203537,330,75.78269622079647
312,Balaka,3.610985224107925,1026,40.363671812409954,327,59.636328187590046
313,Neno,2.855835154468069,933,28.612163678176746,329,71.38783632182326
314,Zomba City,0.9953520022739175,136,47.26680844265108,59,52.73319155734892
315,Blantyre City,0.8910604801860624,568,49.403099208540624,227,50.596900791459376
